data:text/csv;charset=utf-8;"Index","Key","Value","Type"
"0","id","urn:uuid:be01bee2-ee97-4864-a127-33552c26a359","string"
"1","type","","array"
"1.0","0","VerifiableCredential","string"
"2","issuer","did:hedera:testnet:DBMsJGyJ9nxbHFPbFi6T3U1vUug7LDySjP2BVrovesVx_0.0.9124164","string"
"3","issuanceDate","2026-06-06T18:26:21.505Z","string"
"4","@context","","array"
"4.0","0","https://www.w3.org/2018/credentials/v1","string"
"4.1","1","ipfs://QmeLkHc9Mjy65iNuqXGQmmhokEkbYaJS4dQ3ra9Scb2KyC","string"
"5","credentialSubject","","array"
"5.0","0","","object"
"5.0.0","projectId","Bikram@786","string"
"5.0.1","projectName","Bikram@786","string"
"5.0.2","ppRef","Bikram@786","string"
"5.0.3","methodology","Bikram@786","string"
"5.0.4","locationRef","Bikram@786","string"
"5.0.5","startDate","Bikram@786","string"
"5.0.6","creditingPeriod","786","number"
"5.0.7","estAnnualER","786","number"
"5.0.8","totalHouseholds","786","number"
"5.0.9","technologyType","Bikram@786","string"
"5.0.10","policyId","6a2463acd2866ba70ad19349","string"
"5.0.11","guardianVersion","3.6.0","string"
"5.0.12","@context","","array"
"5.0.12.0","0","ipfs://QmeLkHc9Mjy65iNuqXGQmmhokEkbYaJS4dQ3ra9Scb2KyC","string"
"5.0.13","id","urn:uuid:8afbf870-287f-4e63-8c46-057d58072f2d","string"
"5.0.14","type","cd6abf19-8051-45f6-bf1a-68b4d06e129b&1.0.0","string"
"6","proof","","object"
"6.0","type","Ed25519Signature2018","string"
"6.1","created","2026-06-06T18:26:21Z","string"
"6.2","verificationMethod","did:hedera:testnet:DBMsJGyJ9nxbHFPbFi6T3U1vUug7LDySjP2BVrovesVx_0.0.9124164#did-root-key","string"
"6.3","proofPurpose","assertionMethod","string"
"6.4","jws","eyJhbGciOiJFZERTQSIsImI2NCI6ZmFsc2UsImNyaXQiOlsiYjY0Il19..kdgR40FRNsmkxVGLZf4I1bCrPRHEOBS2DP9lrTs-TVOgoF81oGDrMN5kWmzo1yea3Imd5bRYSZMAN-JMxPnQCQ","string"
